,score,metric
0,0.5986394557823129,precision
1,0.6214285714285714,precision
2,0.5112781954887218,precision
3,0.6611570247933884,precision
4,0.6835443037974683,precision
5,0.6262626262626263,precision
6,0.5539568345323741,precision
7,0.5142857142857142,precision
8,0.8181818181818182,precision
9,0.5205479452054794,precision
10,0.13541666666666666,precision
11,0.35555555555555557,precision
12,0.46236559139784944,precision
13,0.6502242152466368,precision
14,0.5786163522012578,precision
15,0.7071428571428572,precision
16,0.42105263157894735,precision
17,0.7272727272727273,precision
18,0.8148148148148148,precision
19,0.6193181818181818,precision
20,0.611764705882353,precision
21,0.5888324873096447,precision
22,0.672,precision
23,0.6545454545454545,precision
24,0.61,precision
25,0.6187050359712231,precision
26,0.6576576576576577,precision
27,0.6754385964912281,precision
28,0.6637168141592921,precision
29,0.7323943661971831,precision
30,0.47368421052631576,precision
31,0.6382978723404256,precision
32,0.5526315789473685,precision
33,0.8484848484848485,precision
34,0.7037037037037037,precision
35,0.5384615384615384,precision
36,0.5906040268456376,recall
37,0.6444444444444445,recall
38,0.4,recall
39,0.7207207207207207,recall
40,0.6835443037974683,recall
41,0.5688073394495413,recall
42,0.4502923976608187,recall
43,0.5806451612903226,recall
44,0.6352941176470588,recall
45,0.5428571428571428,recall
46,0.5416666666666666,recall
47,0.6956521739130435,recall
48,0.7049180327868853,recall
49,0.6872037914691943,recall
50,0.5644171779141104,recall
51,0.678082191780822,recall
52,0.42105263157894735,recall
53,0.7154471544715447,recall
54,0.7764705882352941,recall
55,0.5505050505050505,recall
56,0.5977011494252874,recall
57,0.5550239234449761,recall
58,0.7058823529411765,recall
59,0.6857142857142857,recall
60,0.7530864197530864,recall
61,0.5443037974683544,recall
62,0.6636363636363637,recall
63,0.8020833333333334,recall
64,0.5905511811023622,recall
65,0.7123287671232876,recall
66,0.36,recall
67,0.7317073170731707,recall
68,0.6774193548387096,recall
69,0.7567567567567568,recall
70,0.76,recall
71,0.6511627906976745,recall
72,0.5945945945945946,F1
73,0.6327272727272728,F1
74,0.44884488448844884,F1
75,0.689655172413793,F1
76,0.6835443037974683,F1
77,0.5961538461538461,F1
78,0.4967741935483871,F1
79,0.5454545454545455,F1
80,0.7152317880794701,F1
81,0.5314685314685315,F1
82,0.21666666666666665,F1
83,0.47058823529411764,F1
84,0.5584415584415585,F1
85,0.6682027649769585,F1
86,0.5714285714285714,F1
87,0.6923076923076924,F1
88,0.42105263157894735,F1
89,0.7213114754098361,F1
90,0.7951807228915663,F1
91,0.5828877005347594,F1
92,0.6046511627906976,F1
93,0.5714285714285714,F1
94,0.6885245901639344,F1
95,0.6697674418604651,F1
96,0.6740331491712707,F1
97,0.5791245791245793,F1
98,0.660633484162896,F1
99,0.7333333333333333,F1
100,0.625,F1
101,0.7222222222222221,F1
102,0.40909090909090906,F1
103,0.6818181818181819,F1
104,0.6086956521739131,F1
105,0.8000000000000002,F1
106,0.7307692307692308,F1
107,0.5894736842105263,F1
