,score,metric
0,0.7192634668903206,fbeta_score
1,0.727062369650931,fbeta_score
2,0.595037270332483,fbeta_score
3,0.7555717011852449,fbeta_score
4,0.7561291843470062,fbeta_score
5,0.739268035380995,fbeta_score
6,0.5984217119624332,fbeta_score
7,0.6946184640772545,fbeta_score
8,0.7112190933395781,fbeta_score
9,0.6041593944627143,fbeta_score
10,0.5445328417580285,fbeta_score
11,0.6817297297297298,fbeta_score
12,0.8016751061940531,fbeta_score
13,0.7559049680003684,fbeta_score
14,0.699031284150475,fbeta_score
15,0.8414615345084537,fbeta_score
16,0.5691591170090597,fbeta_score
17,0.8087520590973736,fbeta_score
18,0.8637609908291576,fbeta_score
19,0.7398733320877011,fbeta_score
20,0.8118875932909415,fbeta_score
21,0.7332275247868301,fbeta_score
22,0.7760834142567935,fbeta_score
23,0.8347183512746427,fbeta_score
24,0.8329781923119072,fbeta_score
25,0.6963846835570254,fbeta_score
26,0.75056926816614,fbeta_score
27,0.8479599744401995,fbeta_score
28,0.7292417306931095,fbeta_score
29,0.8422176948790474,fbeta_score
30,0.6128979768942887,fbeta_score
31,0.8266404545563522,fbeta_score
32,0.7737452544320992,fbeta_score
33,0.8300215267428382,fbeta_score
34,0.7286147831901651,fbeta_score
35,0.817471344216742,fbeta_score
36,0.7386807797198415,matthews_corrcoef
37,0.7203656097722071,matthews_corrcoef
38,0.6336702923008083,matthews_corrcoef
39,0.7589610752319699,matthews_corrcoef
40,0.7547371636352382,matthews_corrcoef
41,0.7392040066582484,matthews_corrcoef
42,0.6530581650196741,matthews_corrcoef
43,0.7335294889091355,matthews_corrcoef
44,0.7677776268379471,matthews_corrcoef
45,0.6434623685506766,matthews_corrcoef
46,0.4592963133155637,matthews_corrcoef
47,0.6422139528169043,matthews_corrcoef
48,0.7142622105588223,matthews_corrcoef
49,0.7598012954230697,matthews_corrcoef
50,0.7166298514162012,matthews_corrcoef
51,0.8117155706569337,matthews_corrcoef
52,0.622137083099531,matthews_corrcoef
53,0.7800140618478009,matthews_corrcoef
54,0.8310157577444054,matthews_corrcoef
55,0.7467424678271997,matthews_corrcoef
56,0.7808760554158903,matthews_corrcoef
57,0.7369259744413056,matthews_corrcoef
58,0.7826403093644112,matthews_corrcoef
59,0.796388910883284,matthews_corrcoef
60,0.7873252658869789,matthews_corrcoef
61,0.7115074657442974,matthews_corrcoef
62,0.750698789926772,matthews_corrcoef
63,0.7953892898753165,matthews_corrcoef
64,0.7398902511565185,matthews_corrcoef
65,0.8128119800539869,matthews_corrcoef
66,0.6463833110498739,matthews_corrcoef
67,0.8026352733020962,matthews_corrcoef
68,0.7176869268418687,matthews_corrcoef
69,0.8278923720363233,matthews_corrcoef
70,0.7014741248368698,matthews_corrcoef
71,0.7468678683326273,matthews_corrcoef
72,0.5920544764176107,jaccard_score
73,0.5715482423335827,jaccard_score
74,0.46728880477697654,jaccard_score
75,0.6181473126365167,jaccard_score
76,0.6096666892946847,jaccard_score
77,0.5908869790822118,jaccard_score
78,0.48493966748731043,jaccard_score
79,0.5774164867267878,jaccard_score
80,0.6180261149737154,jaccard_score
81,0.47398385701931395,jaccard_score
82,0.27788092585716057,jaccard_score
83,0.4733523494970725,jaccard_score
84,0.5392687061102591,jaccard_score
85,0.6225677245040646,jaccard_score
86,0.5640201756024659,jaccard_score
87,0.6864833137682375,jaccard_score
88,0.4494206549118388,jaccard_score
89,0.6435579075921026,jaccard_score
90,0.7110280955716398,jaccard_score
91,0.6047767010743628,jaccard_score
92,0.6422241637543684,jaccard_score
93,0.5928254149674,jaccard_score
94,0.6493045992839438,jaccard_score
95,0.6629099400954411,jaccard_score
96,0.6494825785626127,jaccard_score
97,0.5582451386091478,jaccard_score
98,0.6071581238098939,jaccard_score
99,0.6581543818920488,jaccard_score
100,0.59265063719223,jaccard_score
101,0.6853923541247485,jaccard_score
102,0.4760901622077101,jaccard_score
103,0.6713395638629284,jaccard_score
104,0.5541973306723214,jaccard_score
105,0.7074805928016937,jaccard_score
106,0.5399275776634267,jaccard_score
107,0.5855205871377037,jaccard_score
